threshold,accuracy,precision,recall,f1,false_alarm_rate,miss_rate,confusion_matrix
0.3,0.8975409836065574,0.8321917808219178,0.9959016393442623,0.9067164179104478,0.20081967213114754,0.004098360655737705,"[[195, 49], [1, 243]]"
0.35,0.8995901639344263,0.8350515463917526,0.9959016393442623,0.908411214953271,0.19672131147540983,0.004098360655737705,"[[196, 48], [1, 243]]"
0.39999999999999997,0.9016393442622951,0.8379310344827586,0.9959016393442623,0.9101123595505618,0.19262295081967212,0.004098360655737705,"[[197, 47], [1, 243]]"
0.44999999999999996,0.8975409836065574,0.8368055555555556,0.9877049180327869,0.9060150375939849,0.19262295081967212,0.012295081967213115,"[[197, 47], [3, 241]]"
0.49999999999999994,0.8995901639344263,0.8421052631578947,0.9836065573770492,0.9073724007561437,0.18442622950819673,0.01639344262295082,"[[199, 45], [4, 240]]"
0.5499999999999999,0.9016393442622951,0.8475177304964538,0.9795081967213115,0.908745247148289,0.1762295081967213,0.020491803278688523,"[[201, 43], [5, 239]]"
0.5999999999999999,0.9016393442622951,0.8525179856115108,0.9713114754098361,0.9080459770114943,0.1680327868852459,0.028688524590163935,"[[203, 41], [7, 237]]"
0.6499999999999999,0.889344262295082,0.8492647058823529,0.9467213114754098,0.8953488372093024,0.1680327868852459,0.05327868852459016,"[[203, 41], [13, 231]]"
0.7,0.8852459016393442,0.8507462686567164,0.9344262295081968,0.890625,0.16393442622950818,0.06557377049180328,"[[204, 40], [16, 228]]"
0.7499999999999999,0.889344262295082,0.8653846153846154,0.9221311475409836,0.8928571428571429,0.14344262295081966,0.0778688524590164,"[[209, 35], [19, 225]]"
0.7999999999999998,0.8811475409836066,0.8811475409836066,0.8811475409836066,0.8811475409836066,0.11885245901639344,0.11885245901639344,"[[215, 29], [29, 215]]"
0.8499999999999999,0.8668032786885246,0.8908296943231441,0.8360655737704918,0.8625792811839323,0.10245901639344263,0.16393442622950818,"[[219, 25], [40, 204]]"
0.8999999999999999,0.8668032786885246,0.9543147208121827,0.7704918032786885,0.8526077097505669,0.036885245901639344,0.22950819672131148,"[[235, 9], [56, 188]]"
